away_score,away_team,date,home_score,home_team,league,match_id,odds_data,raw_data,source,static_id,status,time,venue
?,Sudan,Aug 05,?,Congo,Africa: African Nations Championship,6201281,,"{""@status"": ""14:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""14:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Amaan Stadium"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3721396"", ""@fix_id"": ""4228793"", ""@id"": ""6201281"", ""localteam"": {""@name"": ""Congo"", ""@goals"": ""?"", ""@id"": ""8165""}, ""visitorteam"": {""@name"": ""Sudan"", ""@goals"": ""?"", ""@id"": ""16328""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3721396,14:00,14:00,Amaan Stadium
?,Nigeria,Aug 05,?,Senegal,Africa: African Nations Championship,6201285,,"{""@status"": ""17:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""17:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Amaan Stadium"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3721397"", ""@fix_id"": ""4228794"", ""@id"": ""6201285"", ""localteam"": {""@name"": ""Senegal"", ""@goals"": ""?"", ""@id"": ""15132""}, ""visitorteam"": {""@name"": ""Nigeria"", ""@goals"": ""?"", ""@id"": ""13584""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3721397,17:00,17:00,Amaan Stadium
0,Deportivo Moron,Aug 05,0,Def. de Belgrano,Argentina: Primera Nacional,6315207,,"{""@status"": ""FT"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""00:10"", ""@commentary_available"": """", ""@venue"": ""Estadio Juan Pasquale"", ""@v"": ""150"", ""@static_id"": ""3633047"", ""@fix_id"": ""4140413"", ""@id"": ""6315207"", ""localteam"": {""@name"": ""Def. de Belgrano"", ""@goals"": ""0"", ""@id"": ""5956""}, ""visitorteam"": {""@name"": ""Deportivo Moron"", ""@goals"": ""0"", ""@id"": ""5966""}, ""events"": {""event"": [{""@type"": ""redcard"", ""@minute"": ""41"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""J. Beron"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63152071""}, {""@type"": ""subst"", ""@minute"": ""44"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""P. Ferreira"", ""@result"": """", ""@playerId"": ""816152"", ""@assist"": ""M. Bittolo"", ""@assistid"": ""73165"", ""@eventid"": ""63152072""}, {""@type"": ""yellowcard"", ""@minute"": ""45"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""G. Gamarra"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63152073""}, {""@type"": ""yellowcard"", ""@minute"": ""57"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""I. Gutierrez"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63152074""}, {""@type"": ""yellowcard"", ""@minute"": ""62"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""Y. Gonzalez"", ""@result"": """", ""@playerId"": ""587162"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63152075""}, {""@type"": ""subst"", ""@minute"": ""68"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""F. Sanguinetti"", ""@result"": """", ""@playerId"": """", ""@assist"": ""E. Franco"", ""@assistid"": """", ""@eventid"": ""63152076""}, {""@type"": ""subst"", ""@minute"": ""83"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""F. Baez"", ""@result"": """", ""@playerId"": ""901625"", ""@assist"": ""Y. Gonzalez"", ""@assistid"": ""587162"", ""@eventid"": ""63152077""}, {""@type"": ""subst"", ""@minute"": ""83"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""J. Olivares"", ""@result"": """", ""@playerId"": ""50226"", ""@assist"": ""I. Costantino"", ""@assistid"": ""645506"", ""@eventid"": ""63152078""}, {""@type"": ""subst"", ""@minute"": ""84"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""M. Burruchaga"", ""@result"": """", ""@playerId"": ""564683"", ""@assist"": ""G. Gonzalez"", ""@assistid"": ""215808"", ""@eventid"": ""63152079""}, {""@type"": ""subst"", ""@minute"": ""84"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""C. Sanchez"", ""@result"": """", ""@playerId"": ""443358"", ""@assist"": ""E. Vecchio"", ""@assistid"": ""76643"", ""@eventid"": ""631520710""}, {""@type"": ""subst"", ""@minute"": ""84"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""F. Tcherkaski"", ""@result"": """", ""@playerId"": """", ""@assist"": ""P. Moyano"", ""@assistid"": """", ""@eventid"": ""631520711""}, {""@type"": ""subst"", ""@minute"": ""90"", ""@extra_min"": ""3"", ""@team"": ""localteam"", ""@player"": ""R. Rumbolo"", ""@result"": """", ""@playerId"": ""694345"", ""@assist"": ""G. Villalba"", ""@assistid"": ""462689"", ""@eventid"": ""631520712""}]}, ""ht"": {""@score"": ""[0-0]""}, ""ft"": {""@score"": ""[0-0]""}}",sport_soccernew/home,3633047,FT,00:10,Estadio Juan Pasquale
?,Atletico Atlanta,Aug 06,?,Quilmes,Argentina: Primera Nacional,6315715,,"{""@status"": ""00:10"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 06"", ""@formatted_date"": ""06.08.2025"", ""@time"": ""00:10"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Estadio Centenario Ciudad de Quilmes"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3633032"", ""@fix_id"": ""4140398"", ""@id"": ""6315715"", ""localteam"": {""@name"": ""Quilmes"", ""@goals"": ""?"", ""@id"": ""6035""}, ""visitorteam"": {""@name"": ""Atletico Atlanta"", ""@goals"": ""?"", ""@id"": ""5912""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3633032,00:10,00:10,Estadio Centenario Ciudad de Quilmes
?,Def. de Cambaceres,Aug 05,?,Claypole,Argentina: Primera C,6306899,,"{""@status"": ""18:30"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""18:30"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Estadio Rodolfo Vicente Capocasa"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3666466"", ""@fix_id"": ""4173839"", ""@id"": ""6306899"", ""localteam"": {""@name"": ""Claypole"", ""@goals"": ""?"", ""@id"": ""5944""}, ""visitorteam"": {""@name"": ""Def. de Cambaceres"", ""@goals"": ""?"", ""@id"": ""5955""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3666466,18:30,18:30,Estadio Rodolfo Vicente Capocasa
?,El Porvenir,Aug 05,?,Deportivo Muniz,Argentina: Primera C,6306900,,"{""@status"": ""18:30"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""18:30"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Estadio Ciudad de San Miguel"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3666465"", ""@fix_id"": ""4173838"", ""@id"": ""6306900"", ""localteam"": {""@name"": ""Deportivo Muniz"", ""@goals"": ""?"", ""@id"": ""5967""}, ""visitorteam"": {""@name"": ""El Porvenir"", ""@goals"": ""?"", ""@id"": ""5975""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3666465,18:30,18:30,Estadio Ciudad de San Miguel
?,Ind. Rivadavia 2,Aug 05,?,Estudiantes L.P. 2,Argentina: Reserve League - Clausura,6315716,,"{""@status"": ""18:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""18:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3656838"", ""@fix_id"": ""4164211"", ""@id"": ""6315716"", ""localteam"": {""@name"": ""Estudiantes L.P. 2"", ""@goals"": ""?"", ""@id"": ""36061""}, ""visitorteam"": {""@name"": ""Ind. Rivadavia 2"", ""@goals"": ""?"", ""@id"": ""39442""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3656838,18:00,18:00,
?,Platense 2,Aug 05,?,Instituto 2,Argentina: Reserve League - Clausura,6311665,,"{""@status"": ""18:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""18:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3656848"", ""@fix_id"": ""4164221"", ""@id"": ""6311665"", ""localteam"": {""@name"": ""Instituto 2"", ""@goals"": ""?"", ""@id"": ""37764""}, ""visitorteam"": {""@name"": ""Platense 2"", ""@goals"": ""?"", ""@id"": ""36058""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3656848,18:00,18:00,
?,Sarmiento Junin 2,Aug 05,?,San Martin S.J. 2,Argentina: Reserve League - Clausura,6311666,,"{""@status"": ""18:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""18:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3656843"", ""@fix_id"": ""4164216"", ""@id"": ""6311666"", ""localteam"": {""@name"": ""San Martin S.J. 2"", ""@goals"": ""?"", ""@id"": ""41773""}, ""visitorteam"": {""@name"": ""Sarmiento Junin 2"", ""@goals"": ""?"", ""@id"": ""36059""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3656843,18:00,18:00,
?,Huracan 2,Aug 05,?,Tigre 2,Argentina: Reserve League - Clausura,6313317,,"{""@status"": ""18:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""18:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3656840"", ""@fix_id"": ""4164213"", ""@id"": ""6313317"", ""localteam"": {""@name"": ""Tigre 2"", ""@goals"": ""?"", ""@id"": ""36066""}, ""visitorteam"": {""@name"": ""Huracan 2"", ""@goals"": ""?"", ""@id"": ""36063""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3656840,18:00,18:00,
